#,Address,OP,Points,Alpha Gal,Ape Warrior Redux,Base of Bored,Bored 101,Bored Council,Bored Survivors,Bored Town,Bored WOW,Catens,Faceless Portraits,Faceless Totz,Mangmoom,MONO is Bored,Nova Ape,NovaNaut,Robonaut,RoboSkull,The Vintract,Zkalien
55,0x97618f26046f44135aF37417e67d84DBd4Fdf926,TBA,51,1,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0
55,0x9C43AB91e02aCb20D5B0F8b6f9d2ba7c2d2a926c,TBA,51,1,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0
55,0x9C45759c699624DA8cE41Ab2B5fc2ae6B51C786e,TBA,51,1,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0
55,0x9C50b5eb0CBC4EfEFab20554200Da775720173f9,TBA,51,1,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0
55,0x9cb4Ae4e7Aa9443982af8dF2aE0dab87049205Fb,TBA,51,1,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0
55,0x9cc573C775c61d7A783F125D9FF5c3DF60a2E718,TBA,51,1,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0
55,0xAB0451D3fb14fb58fA8d3cb42e979110b58B659B,TBA,51,1,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0
55,0xAB8114546C818A6841Df82347B2f752aD03F6f9C,TBA,51,1,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0
55,0xAEAf0Fa3d0151Ebc4980FAc7AD3e5e2C844DC35B,TBA,51,1,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0
55,0xAb67abf313021024108393B1eDf780B5970c7BFA,TBA,51,1,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0
55,0xAd8C7A19BC29ba104CedAB894c01D1722cE185e8,TBA,51,1,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0
55,0xB2861cD1eCBc01b4Cf239491F8b951CA652B53C0,TBA,51,1,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0
55,0xB46092195614d3D715010F47E301ee8B4608d166,TBA,51,1,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0
55,0xB69e9610747520016BDE2a89E3407C5992759748,TBA,51,1,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0
55,0xB6d820e80A2A7c49F94c9D6C8ea08DCcEDC9CE4C,TBA,51,1,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0
55,0xB7A31346433430D92846f0181C55Fc506B9b22d8,TBA,51,1,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0
55,0xBA8b89980f80001f2ABe7C5fdFE7aF878579e745,TBA,51,1,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0
55,0xBf7A8ec016b1e93396567d08e1D1c3b4e3e9D714,TBA,51,1,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0
55,0xD543A0BE0684f0556786586b83f4c9fd16a4dC35,TBA,51,1,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0
55,0xD557aa7A8fe0a6870aeC5b28323bB0551f0Bfb28,TBA,51,1,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0
55,0xD61c34E913019f7F645eCa8F3b68C584f0284995,TBA,51,1,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0
55,0xD6bDf4DFF8217597BCe44E4acE919c3189EBf192,TBA,51,1,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0
